name	date
612_22	2004
612_27	2005
612_29	2005
612_30	2006
612_24	2007
612_26	2007
612_23	2007
612_25	2008
612_105	2008
612_107	2011
612_109	2011
612_108	2011
612_102	2011
2245N0058	2002
612_92	2002
2245N0059	2003
612_93	2003
2245N0060	2004
612_94	2005
612_95	2006
612_96	2006
612_97	2006
612_100	2007
612_98	2007
612_99	2007
612_101	2008
0864N0066	1998
0864N0067	1998
0864N0068	1998
0864N0069	1998
0864N0070	1998
0864N0071	1998
0864N0072	1998
0864N0073	2000
0864N0074	2000
0864N0075	2000
0864N0076	2000
0864N0077	2000
0864N0079	2000
0864N0080	2000
0864N0078	2000
0864N0062	2002
0864N0063	2002
0864N0064	2002
0864N0065	2002
0864N0082	2002
0864N0083	2002
0864N0084	2002
0864N0085	2002
0864N0086	2002
0864N0093	2002
0864N0081	2002
2245N0061	2004
2245N0062	2004
2245N0063	2004
2245N0064	2004
2245N0065	2004
2245N0066	2004
2245N0067	2004
2245N0068	2004
2245N0069	2004
2245N0070	2006
2245N0071	2006
2245N0072	2006
2245N0073	2006
2245N0074	2006
2245N0075	2006
2245N0076	2006
2245N0077	2006
2245N0078	2006
2245N0079	2008
2245N0080	2010
2245N0081	2010
2245N0082	2010
2245N0083	2010
2245N0084	2010
2245N0085	2010
2245N0086	2010
2245N0087	2010
2245N0088	2010
0864N0011	2000
0864N0012	2000
0864N0013	2005
0864N0028	2006
0864N0030	2006
0864N0014	2006
0864N0029	2006
0864N0031	2007
0864N0033	2007
0864N0039	2007
0864N0032	2007
0864N0042	2008
0864N0041	2008
0864N0034	2009
0864N0035	2009
0864N0043	2009
0864N0044	2009
0864N0036	2010
0864N0040	2010
0864N0045	2010
0864N0046	2010
0864N0095	2010
0864N0096	2011
0864N0015	2011
0864N0006	2004
0864N0007	2004
0864N0009	2004
0864N0008	2005
0864N0010	2005
0864N0088	2005
0864N0090	2005
0864N0091	2005
612_32	2005
0864N0005	2008
0864N0001	2009
0864N0003	2009
0864N0002	2010
0864N0004	2010
0864N0087	2010
2245N0055	2010
ERR1040886	2012
ERR1040984	2011
ERR1041174	2012
ERR1753402	2015
ERR1753427	2015
ERR2059755	2014
ERR2072344	2011
ERR2137112	2011
ERR2309602	2014
SRR2046693	2008
SRR2046698	2008
SRR2046731	2008
SRR2046737	2009
SRR2046769	2008
SRR2046776	2009
SRR2046777	2009
SRR2046778	2008
SRR2046779	2009
SRR2046780	2009
SRR2046781	2009
SRR2046782	2009
SRR2046783	2009
SRR2046785	2009
SRR4359642	2013
SRR5369654	2016
SRR5486307	2015
SRR5486334	2015
SRR5912680	2010
SRR6118096	2011
SRR6304978	2007
SRR6371205	2014
SRR6938404	2014
SRR6938490	2014
SRR6938572	2014
